IL ID,R^2 Accuracy
319,0.8976499796661999
1287,0.8965755681089158
1922,0.8961418604258209
194,0.896059869854911
430,0.8956213650719643
852,0.8951911692901585
105,0.8945831665873889
1916,0.8944032145056453
477,0.8940955315164532
653,0.8932627254797358
1670,0.8931207833689978
345,0.8928838166226069
1572,0.8928119544496095
835,0.8927449411580417
478,0.8924371176212311
1505,0.8923854960895211
844,0.8922145597530342
426,0.891780759329844
459,0.8917663065187217
610,0.8913735933884787
1425,0.8909114472013743
1714,0.8907539849303286
384,0.8897250017245786
1678,0.8886782221132392
400,0.8885875547497648
658,0.8884624730447936
1915,0.8884064625853115
216,0.8878069646309744
840,0.887667357719302
1716,0.8874576420849805
1500,0.8874000750872236
609,0.8872622194429642
1295,0.8870045484359937
1690,0.886905587209082
1144,0.8868381301356273
532,0.8866456421748778
111,0.885804868075206
531,0.8855515022775912
1365,0.8852468680565753
425,0.8850962839103627
401,0.8850879967393732
1387,0.884677179636915
1141,0.8846299698495074
1921,0.8845322702348334
1914,0.8844424197540078
1723,0.8838563327985144
460,0.8837392841694915
1554,0.8827578187347103
416,0.8819428893795322
1697,0.8819327731935596
702,0.8815292968111007
415,0.8811495843296162
1285,0.8802298760510013
414,0.8800284237886032
667,0.8790454256266329
654,0.87781352203735
1306,0.8777766023253659
642,0.8777217481693113
385,0.8772649511682205
410,0.876994622625448
1497,0.8758989932046625
1375,0.8757532022744037
641,0.8754982629143372
1307,0.8737977678545237
1636,0.8733617852598319
390,0.8727750093149536
1920,0.872098033411386
1304,0.8719335530359961
1611,0.8705870072217632
753,0.8701114054586099
821,0.8677925593194978
419,0.8651566224860363
1699,0.8648064255319801
1332,0.8647359650490943
1613,0.8636699796620009
1291,0.8628007520876879
58,0.8624263358316404
518,0.8621150077265207
428,0.861078332648158
1301,0.8604044398434844
1369,0.8603215707217452
1498,0.8589945952919467
834,0.8580567222891591
278,0.8577913605710862
1456,0.8571671723476549
1495,0.8548777601360162
619,0.8539951905012949
66,0.8539793209158248
16,0.8535424497838325
403,0.8532775299949165
1705,0.853125952535643
743,0.8521504892597214
712,0.8521113625305722
170,0.8519929392886981
572,0.8513715476160422
81,0.850724304533374
1808,0.84960532185531
1689,0.8483416738441658
717,0.847607482919984
178,0.8473464643426989
476,0.8471466907097397
434,0.8463465411597645
168,0.8462544102449521
469,0.8449894919576857
15,0.8449220157043148
80,0.8447829258324362
17,0.8440220715527548
1371,0.8428878927424481
645,0.8422803296724382
1507,0.8417804839246718
1875,0.8416405936942051
1308,0.8408507806682819
623,0.8402368616719285
437,0.8402134329871498
142,0.8400451401254831
1429,0.839282621671578
826,0.8390492716773315
1787,0.8375595600199892
952,0.836670938420387
1535,0.836218518250806
1873,0.8362039993311466
177,0.836041514120208
7,0.8338055896763343
60,0.8334339185347028
408,0.8328401332261155
1586,0.832781287060459
440,0.8327431025773856
1392,0.8321440615719833
1874,0.8301477645654812
1669,0.8297091621638772
1702,0.8294487205868581
574,0.8291610127285135
106,0.8286789678979696
1204,0.8280503676790963
86,0.8280412245856031
179,0.8279975671386471
1536,0.8274654310215168
176,0.8274598238054879
84,0.8269836350406659
646,0.8268847935795962
304,0.8266622090422474
173,0.8262832398035267
405,0.8254163432587868
1768,0.8247909685665412
1590,0.8243130796600664
54,0.8242860601439941
1701,0.823981910511089
1871,0.8233905862608866
85,0.8231732645970271
409,0.822981804926321
431,0.8224244905996734
1403,0.8222920572477926
573,0.82205784482071
448,0.8219807948769344
89,0.8218640444938224
1325,0.8218005620415936
423,0.8217061204476926
639,0.8211586692379537
1879,0.8207589501289163
88,0.8202181255283805
422,0.8200430024049833
83,0.818662782160853
90,0.8178480515325024
454,0.8169974760437713
674,0.816644909448051
180,0.8163493145708032
1592,0.8160405335138541
411,0.8157673164142376
1394,0.8156890714435231
1363,0.8119219255149572
1610,0.8114778449153935
397,0.8108151932406968
1947,0.8101935015031391
1955,0.8098065641148731
320,0.8083669006044686
594,0.8069106699042421
1509,0.8064605174899278
1457,0.8047505270024324
1047,0.8046518139529648
420,0.8025373467721957
87,0.8020756263395821
398,0.8014377015184778
1956,0.8001750007209154
1627,0.7999146233180771
1388,0.7992965264515133
554,0.7987957133901558
91,0.796499689715893
1556,0.7948045772361776
1957,0.7944014945998996
293,0.7936332821208898
169,0.7934129160092972
470,0.7911608595054047
1073,0.7906622032091233
1641,0.7877973958264193
1752,0.7870926929457924
172,0.7865077698371675
1750,0.7857934921748599
1682,0.7855494172992468
525,0.7854631702927913
1194,0.7851997201358147
549,0.7851629190087677
1958,0.7844284091256093
1685,0.7843509498926006
174,0.7834052245482255
1102,0.7832167505134159
1431,0.7824045520916357
1788,0.7806776346799817
127,0.7803013508313005
1728,0.7787997702600368
1698,0.7783487843131703
164,0.7782580808194635
1372,0.7781089567894923
1811,0.7778727777137396
1959,0.7770852062661178
421,0.7764721711648122
652,0.7754732958332397
165,0.774651654049088
1209,0.7742677861029746
1072,0.7735266150943765
1551,0.773406216641003
1663,0.7732607395755811
538,0.7732124152975977
1411,0.7729328246077417
1031,0.7725952694748122
171,0.7719921640678378
544,0.7713201282674563
175,0.7710813575376109
608,0.7710596014473493
550,0.7708948479148412
1533,0.7705404670091069
396,0.7694651369746441
870,0.7691363252569452
1443,0.7686311131312769
113,0.7683160430617243
1167,0.7680279622690143
1710,0.7670165853598363
395,0.7669373569391679
308,0.7664654217179578
602,0.7664633619845638
1786,0.7663628135811106
548,0.7646076235539445
1877,0.7644347442862213
1534,0.7641768849521102
1442,0.7637669812736934
1945,0.7629530437776311
1441,0.7627798083643036
307,0.7625547332803143
1336,0.7611103448617296
468,0.7605091366767421
1012,0.7602641918342693
855,0.7602619266281304
1820,0.7588090561052308
1668,0.7581020372346025
1767,0.755911189083083
1018,0.7558145278219285
1362,0.7547517472566739
638,0.7546965593504947
839,0.7545178506800823
1506,0.7540071995306888
1046,0.7536293103562428
1664,0.7531704983141104
1829,0.7528026871383431
1558,0.7516291996924479
825,0.7493636638634689
348,0.7488884509520191
1070,0.74886648966458
545,0.7472840775138947
1283,0.7454007258652299
820,0.7453282418515748
1088,0.7449853804983182
291,0.7446558924176434
456,0.7445749286887069
1839,0.7443206093624029
1049,0.7438360896076497
731,0.7435383972598397
1859,0.7413103723446113
1946,0.7407294920305898
1730,0.7392514533227812
1894,0.7389671904073116
1614,0.738366401944302
846,0.7380516997376145
745,0.7370580612058211
1426,0.7361801486988708
740,0.7361576068498912
778,0.7359611755676534
1017,0.7358037356779523
1548,0.7355603085918152
1071,0.7352768425703209
1588,0.734017869192949
552,0.73379225751657
1619,0.7335183685040194
487,0.732824441785747
1667,0.7326569782113099
918,0.7321570490349179
1677,0.7318450213090545
1305,0.7312629330566458
1050,0.7282879006538071
1,0.7281999495108598
719,0.7247271620158529
123,0.7244273592452294
932,0.7237041032915726
1878,0.7212949097456456
1448,0.7210815591920653
1529,0.7197719770081364
1951,0.7193511649201071
1546,0.7188868772194033
1432,0.7176073109920071
736,0.717199027856413
68,0.7139224213411615
706,0.7107272572919929
212,0.7092084163799915
1061,0.7081142237326377
1789,0.7067330166491979
1567,0.7053788485919756
1176,0.7047359769292638
333,0.7034940040492259
780,0.7034523023758349
744,0.7014498496861241
568,0.7003037083307545
252,0.6996240651296297
854,0.6989113098917538
847,0.6986117402822518
1496,0.6972891598205584
1932,0.6970236053391052
853,0.6969161824703707
1099,0.6962579180036736
112,0.6959140487841988
1430,0.6944943361292828
677,0.6935308311736139
565,0.6927698505192135
553,0.6911468802309901
917,0.6901109524055313
367,0.6883864402673489
285,0.6880254216015154
1744,0.6880117151048577
546,0.6855357572451133
1623,0.6854554154984696
725,0.6847627022558895
597,0.6839172899759473
739,0.6833825712384877
824,0.6816554397039261
1621,0.6809979889153579
1444,0.6804538830321385
1437,0.6802147113417895
692,0.6799218549041752
328,0.6781674558641039
136,0.6776067280851001
1622,0.6767499529491167
1624,0.6765431142583703
2,0.6747482043505575
280,0.6735520821368441
1751,0.6731717571580529
689,0.6724515252092771
1177,0.6701727510990751
63,0.6694124563845307
1625,0.6688750560534463
1673,0.6687793767909438
1782,0.6684613502113073
1366,0.6684245474141419
547,0.6656488050551999
1117,0.6638060275904236
1067,0.6618100959646906
592,0.6610980947953996
1681,0.6597703259597191
1132,0.6596901438981257
1688,0.6591414126612735
287,0.658644904854607
1626,0.65812462080803
625,0.6562230818099526
480,0.6557648601958869
1700,0.6546504372686819
868,0.6546462819046885
1100,0.6537303743899903
1896,0.6527392139541174
620,0.6524981936758336
55,0.6519851471210296
1530,0.651727571873151
3,0.651553622955303
1319,0.6506637019322064
557,0.6490662936019207
1531,0.6483566547449622
346,0.6449642495742239
679,0.6442168725744788
1337,0.6408976020808115
10,0.6408433211996971
1519,0.6407215592016948
1076,0.6406584415929889
1644,0.6373309135422768
268,0.6354244106713993
337,0.6334699742511352
4,0.6301438445832052
562,0.6296664526498352
656,0.6295473176756425
558,0.626959734280957
1893,0.62680471635541
8,0.6254859141085678
1361,0.6242605397679227
257,0.6238978006513425
1476,0.6230075555438005
1666,0.6206129621578459
1571,0.6203924496313933
299,0.6203086631702823
1568,0.6189421146927785
1783,0.6183955426983255
1761,0.6182121455125502
627,0.6181715041036844
1570,0.6160042537919761
9,0.6159325311563705
703,0.6150822128894385
1569,0.6120493975341673
1773,0.6118111449907695
131,0.6105764821920533
486,0.6101527955195608
1026,0.609980870711514
1478,0.6099014955435881
955,0.6095673586946091
705,0.6094259255599792
1483,0.6091479992296012
1833,0.6087841204430224
1755,0.6081835664905298
1907,0.6061366937984841
1659,0.6052587855847829
146,0.6050725974110647
1477,0.604237282345994
867,0.6034193565009399
1541,0.60315459524839
832,0.6026401621572948
1646,0.6022734240396908
1504,0.6018422362383253
559,0.60105087601029
535,0.6008594190070594
1766,0.5994356587473616
1795,0.5983259102901831
5,0.5971745887151537
768,0.5921777481203776
214,0.5908017072711959
369,0.5904616437457881
1925,0.5884229120113118
1802,0.5868524240429476
340,0.5865529589008243
394,0.5855766679216301
1328,0.5846648064334925
335,0.5825908152321067
1292,0.5825042040220134
1212,0.5824895977703759
1282,0.5817287859346376
358,0.5812912973263502
1803,0.5812781267437558
1821,0.5787300002567188
1724,0.5777889955287073
684,0.5769650252462251
710,0.5764999138748441
1329,0.5755247650594858
1120,0.5722558301904628
724,0.5722164004490808
704,0.5714982178498795
1794,0.5707999149377734
651,0.5665760324305915
951,0.5644501447049616
154,0.5630265304651375
1880,0.5610948200841425
561,0.5602652942882601
262,0.5578684691346485
987,0.5550948804351094
1029,0.5537819647156017
455,0.5536417490503218
1762,0.5529281344812931
883,0.5523222470416641
1771,0.5521502471599979
1616,0.5519228762997854
1114,0.5508619592977353
650,0.5491378140000593
1848,0.5477617888715884
445,0.5475471734601289
1418,0.5471005214104769
1520,0.5468059074923816
760,0.5458908020221277
1552,0.5413204374920739
1330,0.5406535906760992
1475,0.5371075972737568
1327,0.5352265067685816
770,0.5320531775203943
1385,0.5309575627362837
354,0.5280361077017287
1549,0.5266651947009884
341,0.5260177868548992
360,0.5254505328070569
1708,0.5206677031837965
551,0.5172454084977902
915,0.5170629270942183
1662,0.5158169434138106
1293,0.5148700864202003
1135,0.5116574044573766
1022,0.5111395684186857
