IL ID,Cation,Anion,a,b,R^2
1448,"p-4,4,4,4","ps2-o2,o2",-0.9126089497397951,0.0034441522609434173,0.9990180956465545
1874,"pz-2o2,1",dca,-0.9312906024263607,0.00426017098202165,0.9990168325632577
1416,"p-3oh(oh[2]),8,8,8",pf6,-0.5462133094478737,0.0020100185607622436,0.9990133613629576
1873,"pz-2o1,2",dca,-0.9387955090167086,0.004322710022178658,0.9990127040481003
1954,"trz124-3,1",so3-ph1,-1.0230036984275754,0.0036720111018492562,0.9990037185067737
869,"n-12,1,1,1","herbicide-2,4-DP",-0.8788108138743382,0.0031862197602314886,0.9990036198689792
56,dbu-14,dca,-0.9557227910758426,0.003466536197458776,0.9990004023575622
1167,"n-5,2,2,2",ntf2,-0.930542111408644,0.0038543300416302253,0.9989975759026288
1163,"n-4so3h,4i",hso4,-0.5726423051990459,0.0020935966011589304,0.9989940490345859
1903,"s-2,2,1",dca,-0.6216212226777437,0.003437627235009184,0.9989906701578912
1495,"p-8,8,8,4",cl,-0.7928682802354243,0.002961459648377195,0.9989858945986009
1682,py-4,dca,-0.7911347678259544,0.0038296544476813404,0.9989737959245667
1295,"p-12,8,8,8",cl,-0.7619997202169495,0.0028956540872509726,0.9989698138630573
1500,"p-8,8,8,8",cl,-0.7888570760893143,0.0029859584308505422,0.9989682068429103
1283,"p-10,4,4,4",cl,-0.8979909467102414,0.0032614307096953607,0.9989562040455352
1764,"pyr-2o1,1",npf2,-0.8743079939494963,0.0037348652596667802,0.9989272590290611
1641,py-2o1,ntf2,-0.8108701354392416,0.0037188595649646434,0.9989245735625591
27,"cprop-(n-3,1),(n-1,1),(n-1,1)",dca,-0.9885164093723602,0.004223758320209105,0.9989183339170339
127,"im-10,1",cl,-0.7873053303661509,0.002775040152009674,0.9989179197459015
1821,"pyr-[2o]21,[2o]21",ntf2,-0.9909611666518338,0.004126857237230066,0.9989151593049655
1973,"turea-8,(2,0),(2,0)",ntf2,-0.8165544930289398,0.003410885051692394,0.9989050502908001
568,"im-4,1",fsa,-0.706694814541511,0.0035359440560910733,0.9988946707120671
1660,"py-4,1[2]",ntf2,-1.0151992720858167,0.004257645967620873,0.9988727186163737
1855,pyrro-1,2ac,-0.6322687213316287,0.004428695954496552,0.9988682946427307
1896,quini-8,scn,-0.8878073647444986,0.003278324941424046,0.9988504469090285
936,"n-2,2,2",so3-1,-0.8909473665801585,0.0038066780177221397,0.9988459132045031
1731,py-[2o]41,cl,-0.818747783666597,0.002952003878182207,0.9988352957431391
1673,"py-4,1[4]",ntf2,-0.8573810934177866,0.0038852096489158483,0.9988317984164102
486,"im-3cn,1",dca,-0.8662009379845059,0.0036506966986184003,0.998826269319625
602,"im-4,1",tcb,-0.9713263382787001,0.004440886345650688,0.9988257483250681
1371,"p-1o1,1,1,1",fsa,-0.6343276808572798,0.0035078196368471455,0.9988164729309685
731,"im-8,1",ntf2,-0.8578451164377845,0.003743426371099245,0.9988126014167599
1039,"n-2oh,1",2aci,-0.9522316156223556,0.003917300687840979,0.9987943803722263
1925,tht-2,dca,-0.6951323384198235,0.0034712655626173363,0.9987915130431101
1880,"pz-4,1",ntf2,-0.8606375888303062,0.003824513035939563,0.9987842884729041
355,"im-2cn,6",br,-0.6554843764127615,0.0023335239538075513,0.9987840740640991
1728,py-[2o]21,ntf2,-0.8259848066625045,0.003746445172510431,0.9987724325974549
447,"im-2oh,1",imidazolide,-0.8629922704969424,0.003029828805853285,0.9987635819236765
775,"im-a,1",al(ohfip)4,-0.7602940762775167,0.0036782553678119632,0.9987611780838501
1452,"p-4,4,4",bf4,-0.743261638115398,0.0032570689222249692,0.9987587111525422
