IL ID,Cation,Anion,a,b,R^2
139,"im-12,12",ntf2,-0.8530258674908443,0.0034502018118368867,0.999990824033131
140,"im-12,1",ntf2,-0.8515682821762799,0.003615237634243442,0.9949390060319157
141,"im-12,1",so3-4[f],-0.9308184547028265,0.0035607080899098787,0.9999682201829966
142,"im-14,1",ntf2,-0.8392736450184909,0.0035027742148295554,0.9895298064255187
143,"im-16,1",ntf2,-0.841790605491459,0.0034338348871841423,0.9999443344022315
145,im-1,ac,-1.0723746524953892,0.005473255794585372,0.9999796553536227
146,im-1,hso4,-0.6640615241592517,0.002779929897941545,0.9998154410824326
148,im-1,ntf2,-0.7134049950898775,0.0032973938779835847,0.9994855494672938
150,"im-1cch,1",ntf2,-0.73702573180618,0.003485771010699246,0.9971096495608492
152,"im-1ch,1",ntf2,-0.9459265481705332,0.0037812635115400217,0.9991151175043139
153,"im-1cn,1",ntf2,-0.9552366196665618,0.003803216728403228,0.9997702157578596
154,"im-1conh4,2",ntf2,-0.9909857881257458,0.0037732578218570637,0.9998612673716094
155,"im-1coo2,1",ntf2,-1.0233484012342706,0.004249094697785056,0.9929060445189271
156,"im-1coo2,1",scn,-0.8739618189967638,0.003222343513208268,0.9876998384917204
162,"im-1dmsotms,1",ntf2,-0.8630229765194654,0.0038051671843539274,0.9991199547396531
163,"im-1dmsph,1",ntf2,-1.0363277906038215,0.004119870582547988,0.9998860122458552
164,"im-1o1,1,1",ntf2,-0.9666144366336151,0.0041169644050068725,0.9989869544635669
165,"im-1o1,1,2",ntf2,-0.9864477101248708,0.004150921404235592,0.9993931010404988
168,"im-1o1,1",ntf2,-0.87532813961998,0.003983381148600339,0.9995517257941618
169,"im-1o1,2,2",ntf2,-1.003134975134951,0.004245798147584688,0.9997503019685261
170,"im-1o1,2",ntf2,-0.8969231755158968,0.004108765587177194,0.9996171679125049
171,"im-1o1,3,1",ntf2,-1.0667026175011305,0.004418018320871926,0.9998365237537382
172,"im-1o1,3,2",ntf2,-1.0563914784630473,0.004447510536048505,0.999726196000217
173,"im-1o1,3",ntf2,-0.9502781648516906,0.004210566520336554,0.9994895970492622
174,"im-1o1,4,1",ntf2,-1.0426214672526044,0.004331250057946191,0.9999433053973483
175,"im-1o1,4,2",ntf2,-1.0004231976402882,0.00417320270772479,0.9996120545770288
176,"im-1o1,4",ntf2,-0.9551348104015666,0.0042082215281490105,0.9996767342652568
177,"im-1o2,1",ntf2,-0.8981028727405745,0.0040805530455724735,0.9991449353899998
178,"im-1o2,2",ntf2,-0.8707740920892647,0.0040659200374379475,0.9988671408933838
179,"im-1o2,3",ntf2,-0.9741153322335729,0.004307949621138552,0.9996024368192565
180,"im-1o2,4",ntf2,-0.9411253612479176,0.004173750623048552,0.9990225536531354
192,"im-1ph,1",alcl4,-0.5923006043083348,0.002875057695702636,0.9920655839469957
193,"im-1ph,1",cl,-1.1861085214093132,0.004230215805540931,0.998455581138466
194,"im-1ph,1",dca,-0.9095848699902936,0.003938064383955298,0.9362955164540123
195,"im-1ph,1",ntf2,-0.9898226981302607,0.004113892644916967,0.9571647579218729
197,"im-1ph,1",so4-1,-0.9215354006447141,0.0033664364090504285,0.9992697298535755
202,"im-1tms,1",ntf2,-0.9356689907963229,0.004036589721885022,0.9992895572122285
205,"im-2(6[f]),1",ntf2,-0.863136189061095,0.0032837333292404193,0.9986781427422395
210,"im-2,1,1",al(ohfip)4,-0.8306362357167413,0.0038037703944281366,0.999811930322034
212,"im-2,1,1",hso4,-1.3754153526464425,0.0053073614846690775,0.9882571900184369
213,"im-2,1,1",ntf2,-0.5984272719438158,0.0028751337401989267,0.7757127422114574
214,"im-2,1,1","ph-coo[1],oh[2]",-0.8495471514808479,0.0033605605071753268,0.9985242526813256
215,"im-2,1,1o2",ntf2,-0.9133229002930219,0.004088318755140499,0.9992523836223609
216,"im-2,1,1o3",ntf2,-0.9965914015310903,0.0043215506656452095,0.999578050966676
221,"im-2,1D",fap,-0.7397424298037548,0.0034537900254251463,0.9992057935586856
222,"im-2,1D",so4-1D,-0.7514225393795274,0.0034382867025168685,0.9992126694167195
223,"im-2,1D",tcb,-0.7441899482262414,0.003894578184169451,0.9967535461809037
227,"im-2,1",ac,-0.926966266001631,0.0039062143035781425,0.9912023542715754
228,"im-2,1",al(ohfip)4,-0.7908976090731503,0.003748217185022912,0.9994947374186507
229,"im-2,1",al2cl7,-0.5069667823265707,0.0032224523186055944,0.9987114003066548
230,"im-2,1",ala,-1.010247143832043,0.004065609860538584,0.9656964411064911
231,"im-2,1",alcl4,-0.5176709047422087,0.0031403653515878938,0.9932430624221081
238,"im-2,1",bf2cn2,-0.44061294008967217,0.0031712279998664526,0.9970704599902688
239,"im-2,1",bf2ox,-1.0046382460177392,0.004251867506742399,0.9995713115892333
251,"im-2,1",bf3cn,-0.4603209976543787,0.00310180584049678,0.9985850714581108
252,"im-2,1",bf4,-0.6127233842631671,0.0031863821938099097,0.9082052295734384
255,"im-2,1",bfcn3,-0.5704156485261574,0.003553230159707315,0.9978206072615539
257,"im-2,1",ccn3,-0.7191812714546618,0.003930547361831593,0.9503173940351172
258,"im-2,1",cl,-1.2812992007366428,0.004435242573394251,0.9997340819103269
259,"im-2,1",conco4,-0.8532049945003517,0.0036897950894576696,0.9993897321351565
260,"im-2,1",coscn4,-1.0064572696655238,0.004126497029785796,0.9996323689793672
261,"im-2,1",dca,-0.4673723623530934,0.0030236742803392298,0.76157250701769
262,"im-2,1",fap,-0.7026432154135039,0.0033495539160803777,0.9964083523240882
265,"im-2,1",fsa,-0.5474471692374828,0.0032196895471353405,0.9662167101623589
268,"im-2,1",gly,-0.9934089106633979,0.004183080644858066,0.7681491969284362
269,"im-2,1",hso4,-0.655660124729284,0.0025647743332425825,0.9995382152053647
271,"im-2,1",imidazolide,-1.650897758948314,0.0063159606986172906,0.9975206293282632
275,"im-2,1",npf2,-0.7968118823897653,0.0035689796386270886,0.9989385526172155
277,"im-2,1",ntf2,-0.6615164784963351,0.0034043449359867396,0.9899876598621324
278,"im-2,1",otf,-0.6742116669714531,0.0033510262961778704,0.9926502081983772
279,"im-2,1",pf6,-1.0351538835239822,0.004133491734328888,0.9983700941343171
280,"im-2,1","ph-coo[1],oh[2]",-0.9640889419120032,0.0038037255964915714,0.9996262259814674
281,"im-2,1",phen,-0.9572027447350224,0.0041042203678194325,0.9967236538101368
282,"im-2,1","po2-1,o1",-0.8518632254140233,0.003673267533374119,0.9991746166962203
283,"im-2,1","po2-o1,o1",-0.8916453913312096,0.003615410809710904,0.9998906931236935
284,"im-2,1","po2-o2,o2",-0.8508443093198534,0.003417084504193564,0.9958871605252881
285,"im-2,1",pro,-0.999612428797451,0.0038235384817299676,0.8785977264746428
287,"im-2,1",scn,-0.6612080239670167,0.0035055081035524362,0.9889595412902074
288,"im-2,1",ser,-1.0165969014803629,0.003848655973812581,0.7472872554517374
289,"im-2,1",so3-1,-1.0137924711531958,0.00414901085112619,0.9808083278274908
291,"im-2,1",so3-4[f],-0.8492938015113168,0.0035783014803786577,0.9998836136751688
293,"im-2,1",so4-1,-0.7482485972091182,0.0034320612556519095,0.9779524306005271
294,"im-2,1",so4-2,-0.7907913097381025,0.0035045535714049265,0.9968374505036293
295,"im-2,1",so4-4,-0.8216145640620046,0.0034648055736120034,0.9996747744349324
296,"im-2,1",so4-6,-0.8135387154407706,0.00333290011630037,0.9997113439106385
297,"im-2,1",so4-8,-0.7727402481463721,0.003102173073371079,0.9977305726574418
299,"im-2,1",tau,-0.9245639410378814,0.0036177791841989497,0.999929148034025
304,"im-2,1",tcb,-0.7927788153246459,0.0040683477617021345,0.9847855200608409
307,"im-2,1",tfa-3[f],-0.8788835887455426,0.0037754815633329894,0.9998040376472822
308,"im-2,1",tfa,-0.7246337222224826,0.0036182713299372895,0.9940548842712609
309,"im-2,1",tfes,-0.7673595390967283,0.003442938716365086,0.9993860252944577
310,"im-2,1",tfesi,-1.1100549180578145,0.0048044094278515215,0.9997355510873317
315,"im-2,1o2,1",ntf2,-0.9342532031258293,0.004086203723500387,0.9998862009596531
318,"im-2,2,1o2",ntf2,-0.9367341571412466,0.004185337512550949,0.999436633392072
319,"im-2,2,1o3",ntf2,-0.9363482339906749,0.0041271987396462265,0.9995446586100089
320,"im-2,2",ntf2,-0.6597344952671521,0.0034160772864930476,0.9976697542595928
325,"im-2D,1D",fap,-0.7488772924982634,0.003474723371289745,0.9992530102331418
326,"im-2D,1D",so4-1D,-0.7470415666521364,0.0034081827827211193,0.9992612625327936
327,"im-2D,1",fap,-0.7459444403667544,0.003471777432382969,0.9984544237251334
328,im-2,ac,-0.7272291065564797,0.004514096198364886,0.9967728406901062
332,im-2,ntf2,-0.7528070987021513,0.0035205908592281796,0.9978921972365931
333,im-2,otf,-0.7273275659050663,0.003445718260577455,0.9909091630777577
335,im-2,so3-1,-0.9490442447835583,0.0037768656199207596,0.9993517184135668
337,"im-2cl,1",dca,-0.867705285682136,0.0037179371599157535,0.9976097762027476
338,"im-2cn,10",behss,-0.6356270856478589,0.002248026806659721,0.9806593976399482
339,"im-2cn,10",br,-0.6071235284052107,0.0021013550010014676,0.9939631979655967
340,"im-2cn,10",sba,-0.7616982298418405,0.0026949033418527026,0.9753113986299434
341,"im-2cn,10",so4-12,-0.6816646103956179,0.0024159616257941824,0.984868688704451
343,"im-2cn,1ph",cl,-0.738662268507731,0.0023757436580146723,0.992919131673922
344,"im-2cn,2o2",dca,-0.939633669560573,0.003809425931374494,0.9998736317497842
345,"im-2cn,2o2",ntf2,-0.9312849510354813,0.003745652726701045,0.9997684452283456
346,"im-2cn,2o2",tfa,-0.9541622683111808,0.00355789286740695,0.9991165797956517
347,"im-2cn,2oh",cl,-0.6295166878636488,0.0021783045546084987,0.992170600683484
348,"im-2cn,4",behss,-0.9029785057359753,0.003201467763142528,0.9706552258179318
349,"im-2cn,4",br,-0.6565514472569745,0.002358974233712616,0.9950446918064765
350,"im-2cn,4",bs,-1.1759815007591776,0.004219575963202272,0.9807443781726741
351,"im-2cn,4",cl,-0.8784076156023667,0.0031764762492725446,0.7135604883578215
352,"im-2cn,4",otf,-1.287934180918168,0.004762163258317353,0.9886861070488858
353,"im-2cn,4",so4-12,-0.9727993339524305,0.0034681984068076297,0.9801558916136814
354,"im-2cn,6",behss,-0.7906364519615887,0.0027883741594633455,0.9817847114107401
355,"im-2cn,6",br,-0.6546233269251692,0.002332103266443408,0.998214446732479
356,"im-2cn,6",bs,-0.9618470949524762,0.003474115303237263,0.9846795212662965
357,"im-2cn,6",cl,-0.7207177374515585,0.002483460596547499,0.984687879039982
358,"im-2cn,6",otf,-1.198396662503233,0.004365350304774791,0.9835637495305235
359,"im-2cn,6",sba,-0.9408800873327491,0.003319658982900753,0.9552526889253307
360,"im-2cn,6",so4-12,-0.8894677348187777,0.0031356621344438376,0.9837428196760387
361,"im-2cn,8",br,-0.6556002522067321,0.0022764201302776987,0.9919948810066415
362,"im-2cn,8",cl,-0.6023311980253269,0.0020721231214146534,0.9907981903902603
363,"im-2cn,a",cl,-0.8373261364910004,0.0029619380141192634,0.9952645666333778
364,im-2cn,1ac,-1.2139972482326895,0.005034424137737892,0.9997798031155046
365,im-2cn,2ac,-1.0644167594717098,0.004447780582113507,0.9993994077807585
366,im-2cn,4ac,-1.060517926217122,0.004396529887201662,0.9977735869021419
367,im-2cn,ac,-1.2392736592896614,0.005084717456426079,0.9987954944895076
368,im-2cn,for,-1.1799486170521842,0.0048873879345148275,0.998186790098622
369,im-2cn,hso4,-0.7125703091786286,0.002645645891141595,0.9988557438525121
370,im-2cn,so3-ph1,-0.9025853650816154,0.003107253539467111,0.995261175069998
383,"im-2o1,1,1",ntf2,-0.9628183346484004,0.004131038341256166,0.9956026330612625
384,"im-2o1,1,1o2",ntf2,-0.9076440038084264,0.003979855612147911,0.9993548884369741
385,"im-2o1,1,1o3",ntf2,-1.0236142285238163,0.004357771748702104,0.9995759635503714
386,"im-2o1,1,2",ntf2,-0.9777249790985754,0.004166770576449298,0.9940286433149108
389,"im-2o1,1",bf4,-0.6698496660275373,0.0029497952745817725,0.9589194672484058
390,"im-2o1,1",ntf2,-0.8765043866191251,0.004030839506307604,0.9950640633268528
392,"im-2o1,1",pf6,-0.9455247890204556,0.0038537694235353617,0.9997753840960543
394,"im-2o1,1",so3-1,-0.9665480478641119,0.0037897968416769692,0.998671344175143
395,"im-2o1,1o1,1",ntf2,-1.0003880746263685,0.004145557084941651,0.9997201250527635
396,"im-2o1,1o1,2",ntf2,-1.0357862500629462,0.0043196192526110955,0.9995754407308101
397,"im-2o1,1o1",ntf2,-0.9780235971969488,0.00430171779925846,0.9990770510031064
398,"im-2o1,1o2",ntf2,-0.993789827838955,0.004375607919106311,0.9985271296510354
400,"im-2o1,2,1o2",ntf2,-1.0057107552195443,0.004362607341399144,0.9991843458424514
401,"im-2o1,2,1o3",ntf2,-1.0332170243181842,0.004417383149595875,0.9996568392590548
402,"im-2o1,2,2",ntf2,-0.9677126944152795,0.004167039234526861,0.9980608527881467
403,"im-2o1,2",ntf2,-0.8456879212142014,0.00399486193125178,0.9988568303802797
404,"im-2o1,2o1,2",ntf2,-1.0156201117456036,0.004292717679905341,0.9989727787461576
405,"im-2o1,2o1",ntf2,-0.9182190023384929,0.004151598335632944,0.9987410785418432
406,"im-2o1,3,1",ntf2,-1.0191799727179185,0.004304234239099999,0.9989364181373785
407,"im-2o1,3,2",ntf2,-1.0703521989669769,0.004440913230442894,0.9994716211402174
408,"im-2o1,3",ntf2,-0.895588016569722,0.004077394588165426,0.9989014322359533
409,"im-2o1,4,1",ntf2,-1.0703751346586328,0.0044453580652649835,0.9994403529506636
