"ID","Label"
"199","im-1ph,1ph + scn"
"200","im-1tms,1,1 + ntf2"
"201","im-1tms,1,1o4 + ntf2"
"202","im-1tms,1 + ntf2"
"203","im-2(2[f]),1 + ntf2"
"204","im-2(4[f]),1 + ntf2"
"205","im-2(6[f]),1 + ntf2"
"206","im-2(cfbr,cf2br),1(chbr,ch2br) + ntf2"
"207","im-2(cfbr,cf2br),1 + ntf2"
"208","im-2,1,1[5] + ntf2"
"209","im-2,1,1[5] + otf"
"210","im-2,1,1 + al(ohfip)4"
"211","im-2,1,1 + h2po4"
"212","im-2,1,1 + hso4"
"213","im-2,1,1 + ntf2"
"214","im-2,1,1 + ph-coo[1],oh[2]"
"215","im-2,1,1o2 + ntf2"
"216","im-2,1,1o3 + ntf2"
"217","im-2,1,s1 + ntf2"
"218","im-2,1,s3 + ntf2"
"219","im-2,1,s3i + ntf2"
"220","im-2,1,s8 + ntf2"
"221","im-2,1D + fap"
"222","im-2,1D + so4-1D"
"223","im-2,1D + tcb"
"224","im-2,1[2] + bf4"
"225","im-2,1[2] + npf2"
"226","im-2,1[2] + ntf2"
"227","im-2,1 + ac"
"228","im-2,1 + al(ohfip)4"
"229","im-2,1 + al2cl7"
"230","im-2,1 + ala"
"231","im-2,1 + alcl4"
"232","im-2,1 + bcn3-1[f]"
"233","im-2,1 + bcn3-2[f]"
"234","im-2,1 + bf2cn-1[f]"
"235","im-2,1 + bf2cn-2[f]"
"236","im-2,1 + bf2cn-3[f]"
"237","im-2,1 + bf2cn-4[f]"
"238","im-2,1 + bf2cn2"
"239","im-2,1 + bf2ox"
"240","im-2,1 + bf3-1"
"241","im-2,1 + bf3-1[f]"
"242","im-2,1 + bf3-2"
"243","im-2,1 + bf3-2[f]"
"244","im-2,1 + bf3-2[f]o1[f]"
"245","im-2,1 + bf3-3"
"246","im-2,1 + bf3-3[f]"
"247","im-2,1 + bf3-4"
"248","im-2,1 + bf3-4[f]"
"249","im-2,1 + bf3-5"
"250","im-2,1 + bf3-v"
"251","im-2,1 + bf3cn"
"252","im-2,1 + bf4"
"253","im-2,1 + bfcn2-1[f]"
"254","im-2,1 + bfcn2-2[f]"
"255","im-2,1 + bfcn3"
"256","im-2,1 + c1c2"
"257","im-2,1 + ccn3"
"258","im-2,1 + cl"
"259","im-2,1 + conco4"
"260","im-2,1 + coscn4"
"261","im-2,1 + dca"
"262","im-2,1 + fap"
"263","im-2,1 + fecl4"
"264","im-2,1 + fpi"
"265","im-2,1 + fsa"
"266","im-2,1 + fso3"
"267","im-2,1 + gacl4"
"268","im-2,1 + gly"
"269","im-2,1 + hso4"
"270","im-2,1 + im41"
"271","im-2,1 + imidazolide"
"272","im-2,1 + moof5"
"273","im-2,1 + nbf6"
"274","im-2,1 + nms2"
"275","im-2,1 + npf2"
"276","im-2,1 + npfso2f"
"277","im-2,1 + ntf2"
"278","im-2,1 + otf"
"279","im-2,1 + pf6"
"280","im-2,1 + ph-coo[1],oh[2]"
"281","im-2,1 + phen"
"282","im-2,1 + po2-1,o1"
"283","im-2,1 + po2-o1,o1"
"284","im-2,1 + po2-o2,o2"
"285","im-2,1 + pro"
"286","im-2,1 + sbf6"
"287","im-2,1 + scn"
"288","im-2,1 + ser"
"289","im-2,1 + so3-1"
"290","im-2,1 + so3-2[f]"
"291","im-2,1 + so3-4[f]"
"292","im-2,1 + so4-1,3[f],chf2"
"293","im-2,1 + so4-1"
"294","im-2,1 + so4-2"
"295","im-2,1 + so4-4"
"296","im-2,1 + so4-6"
"297","im-2,1 + so4-8"
"298","im-2,1 + taf6"
"299","im-2,1 + tau"
"300","im-2,1 + tca-1"
"301","im-2,1 + tca-1cn"
"302","im-2,1 + tca-o1"
"303","im-2,1 + tca"
"304","im-2,1 + tcb"
"305","im-2,1 + tetrazolide"
"306","im-2,1 + tfa-2[f]"
