IL ID,Label,Viscosity Group,Temp
176,"im-1o1,4 + ntf2",L,298.15
177,"im-1o2,1 + ntf2",L,298.15
178,"im-1o2,2 + ntf2",L,298.15
179,"im-1o2,3 + ntf2",L,298.15
180,"im-1o2,4 + ntf2",L,298.15
181,"im-1o3,1o3 + bf4",L,298.2
182,"im-1o3,1o3 + ntf2",L,298.2
183,"im-1o4,1o4 + bf4",H,298.2
184,"im-1o4,1o4 + ntf2",L,298.2
185,"im-1o5,1o5 + bf4",H,298.2
186,"im-1o5,1o5 + ntf2",L,298.2
187,"im-1o6,1o6 + ntf2",L,298.2
188,"im-1o7,1o7 + ntf2",L,298.2
189,"im-1o8,1o8 + ntf2",L,298.2
190,"im-1ph,1[2] + npf2",L,298.2
191,"im-1ph,1[2] + ntf2",L,298.2
192,"im-1ph,1 + alcl4",L,318.15
193,"im-1ph,1 + cl",H,293.15
194,"im-1ph,1 + dca",L,298.15
195,"im-1ph,1 + ntf2",L,298.15
196,"im-1ph,1 + sac",H,293.0
197,"im-1ph,1 + so4-1",H,293.15
198,"im-1ph,1ph + dca",H,293.0
199,"im-1ph,1ph + scn",H,293.0
200,"im-1tms,1,1 + ntf2",H,293.0
201,"im-1tms,1,1o4 + ntf2",H,293.0
202,"im-1tms,1 + ntf2",H,278.15
203,"im-2(2[f]),1 + ntf2",H,296.0
204,"im-2(4[f]),1 + ntf2",H,296.0
205,"im-2(6[f]),1 + ntf2",H,293.15
206,"im-2(cfbr,cf2br),1(chbr,ch2br) + ntf2",H,333.2
207,"im-2(cfbr,cf2br),1 + ntf2",L,333.2
208,"im-2,1,1[5] + ntf2",L,298.0
209,"im-2,1,1[5] + otf",L,298.0
210,"im-2,1,1 + al(ohfip)4",L,323.2
211,"im-2,1,1 + h2po4",L,333.15
212,"im-2,1,1 + hso4",H,288.15
213,"im-2,1,1 + ntf2",L,293.15
214,"im-2,1,1 + ph-coo[1],oh[2]",H,293.15
215,"im-2,1,1o2 + ntf2",L,298.2
216,"im-2,1,1o3 + ntf2",L,298.2
217,"im-2,1,s1 + ntf2",L,293.2
218,"im-2,1,s3 + ntf2",L,293.2
219,"im-2,1,s3i + ntf2",L,293.2
220,"im-2,1,s8 + ntf2",L,293.2
221,"im-2,1D + fap",L,293.15
222,"im-2,1D + so4-1D",L,293.15
223,"im-2,1D + tcb",L,293.15
224,"im-2,1[2] + bf4",L,298.2
225,"im-2,1[2] + npf2",L,298.2
226,"im-2,1[2] + ntf2",L,298.2
227,"im-2,1 + ac",H,288.15
228,"im-2,1 + al(ohfip)4",L,313.2
229,"im-2,1 + al2cl7",L,293.15
230,"im-2,1 + ala",H,293.15
231,"im-2,1 + alcl4",L,298.0
232,"im-2,1 + bcn3-1[f]",L,293.0
233,"im-2,1 + bcn3-2[f]",L,293.0
234,"im-2,1 + bf2cn-1[f]",L,293.0
235,"im-2,1 + bf2cn-2[f]",L,293.0
236,"im-2,1 + bf2cn-3[f]",L,293.0
237,"im-2,1 + bf2cn-4[f]",L,293.0
238,"im-2,1 + bf2cn2",L,293.2
239,"im-2,1 + bf2ox",H,263.15
240,"im-2,1 + bf3-1",L,298.2
241,"im-2,1 + bf3-1[f]",L,298.2
242,"im-2,1 + bf3-2",L,298.2
243,"im-2,1 + bf3-2[f]",L,298.2
244,"im-2,1 + bf3-2[f]o1[f]",L,298.2
245,"im-2,1 + bf3-3",L,298.2
246,"im-2,1 + bf3-3[f]",L,298.2
247,"im-2,1 + bf3-4",L,298.2
248,"im-2,1 + bf3-4[f]",L,298.2
249,"im-2,1 + bf3-5",L,298.2
250,"im-2,1 + bf3-v",L,298.2
251,"im-2,1 + bf3cn",L,293.2
252,"im-2,1 + bf4",L,278.15
253,"im-2,1 + bfcn2-1[f]",L,293.0
254,"im-2,1 + bfcn2-2[f]",L,293.0
255,"im-2,1 + bfcn3",L,293.2
