iter	Passed	Remaining
443	933	1169
444	935	1166
445	937	1164
446	939	1161
447	940	1159
448	942	1156
449	944	1153
450	945	1151
451	947	1148
452	949	1146
453	951	1144
454	953	1141
455	954	1139
456	956	1136
457	958	1133
458	959	1131
459	961	1128
460	963	1126
461	965	1123
462	966	1121
463	968	1118
464	969	1115
465	971	1113
466	973	1110
467	974	1108
468	976	1105
469	978	1103
470	980	1100
471	981	1098
472	983	1095
473	985	1093
474	986	1090
475	988	1088
476	990	1085
477	992	1083
478	993	1080
479	995	1078
480	997	1075
481	998	1073
482	1000	1070
483	1001	1068
484	1003	1065
485	1005	1063
486	1007	1061
487	1009	1058
488	1010	1056
489	1012	1053
490	1014	1051
491	1015	1048
492	1017	1046
493	1019	1043
494	1020	1041
495	1022	1039
496	1024	1036
497	1026	1034
498	1027	1032
499	1029	1029
500	1031	1027
501	1033	1024
502	1034	1022
503	1036	1019
504	1038	1017
505	1039	1015
506	1041	1013
507	1043	1010
508	1045	1008
509	1047	1006
510	1048	1003
511	1050	1001
512	1052	999
513	1054	996
514	1055	994
515	1057	991
516	1059	989
517	1061	987
518	1062	985
519	1064	982
520	1066	980
521	1067	977
522	1069	975
523	1071	973
524	1073	970
525	1074	968
526	1076	966
527	1078	963
528	1080	961
529	1081	959
530	1083	956
531	1085	954
532	1086	952
533	1088	950
534	1090	947
535	1092	945
536	1093	943
537	1095	941
538	1097	939
539	1099	936
540	1101	934
541	1103	932
542	1104	929
543	1106	927
544	1108	925
545	1109	922
546	1111	920
547	1113	918
548	1115	916
549	1116	913
550	1118	911
551	1120	909
552	1121	906
553	1123	904
554	1125	902
555	1127	900
556	1129	898
557	1130	895
558	1132	893
559	1134	891
560	1135	888
561	1137	886
562	1139	884
563	1140	882
564	1142	879
565	1144	877
566	1146	875
567	1147	872
568	1149	870
569	1151	868
570	1152	866
571	1154	863
572	1156	861
573	1157	859
574	1159	857
575	1161	854
576	1163	852
577	1164	850
578	1166	848
579	1168	845
580	1169	843
581	1171	841
582	1173	839
583	1174	836
584	1176	834
585	1178	832
586	1180	830
587	1181	828
588	1183	825
589	1185	823
590	1186	821
591	1188	819
592	1190	816
593	1191	814
594	1193	812
595	1195	810
596	1196	807
597	1198	805
598	1200	803
599	1201	801
600	1203	799
601	1205	796
602	1207	794
603	1208	792
604	1210	790
605	1212	788
606	1213	785
607	1215	783
608	1217	781
609	1218	779
610	1220	777
611	1222	775
612	1224	772
613	1225	770
614	1227	768
615	1229	766
616	1231	764
617	1232	762
618	1234	759
619	1236	757
620	1238	755
621	1239	753
622	1241	751
623	1243	749
624	1245	747
625	1247	745
626	1248	742
627	1250	740
628	1252	738
629	1254	736
630	1256	734
631	1258	732
632	1259	730
633	1261	728
634	1263	726
635	1264	723
636	1266	721
637	1268	719
638	1270	717
639	1271	715
640	1273	713
641	1275	711
642	1277	709
643	1278	706
644	1280	704
645	1282	702
646	1284	700
647	1285	698
648	1287	696
649	1289	694
650	1290	691
651	1292	689
652	1294	687
653	1295	685
654	1297	683
655	1299	681
656	1301	679
657	1302	677
658	1304	675
659	1306	672
660	1307	670
661	1309	668
662	1311	666
663	1312	664
664	1314	662
665	1315	659
666	1317	657
667	1319	655
668	1320	653
669	1322	651
670	1324	649
671	1325	647
672	1327	645
673	1329	642
674	1330	640
675	1332	638
676	1334	636
677	1335	634
678	1337	632
679	1339	630
680	1341	628
681	1342	626
682	1344	624
683	1346	621
684	1347	619
685	1349	617
686	1351	615
687	1352	613
688	1354	611
689	1356	609
690	1358	607
691	1359	605
692	1361	603
693	1363	601
694	1364	599
695	1366	596
696	1368	594
697	1370	592
698	1371	590
699	1373	588
700	1375	586
701	1376	584
702	1378	582
703	1380	580
704	1382	578
705	1383	576
706	1385	574
707	1387	572
708	1388	570
709	1390	567
710	1392	565
711	1393	563
712	1395	561
713	1397	559
714	1398	557
715	1400	555
716	1401	553
717	1403	551
718	1405	549
719	1407	547
720	1409	545
721	1410	543
722	1412	541
723	1414	539
724	1415	537
725	1417	534
726	1419	532
727	1421	530
728	1422	528
729	1424	526
730	1426	524
731	1428	522
732	1430	520
733	1431	518
734	1433	516
735	1435	514
736	1437	512
737	1439	510
738	1440	508
739	1442	506
740	1444	504
741	1446	502
742	1448	500
743	1449	498
744	1451	496
745	1453	494
746	1454	492
747	1456	490
748	1458	488
749	1459	486
750	1461	484
751	1463	482
752	1465	480
753	1466	478
754	1468	476
755	1470	474
756	1471	472
757	1473	470
758	1475	468
759	1476	466
760	1478	464
761	1480	462
762	1482	460
763	1483	458
764	1485	456
765	1487	454
766	1489	452
767	1490	450
768	1492	448
769	1494	446
770	1496	444
771	1498	442
772	1500	440
773	1502	438
774	1504	436
775	1506	434
776	1508	433
777	1510	431
778	1512	429
779	1514	427
780	1516	425
781	1518	423
782	1519	421
783	1521	419
784	1523	417
785	1525	415
786	1527	413
787	1529	411
788	1531	409
789	1533	407
790	1535	405
791	1537	403
792	1539	401
793	1540	399
794	1542	397
795	1544	395
796	1546	393
797	1548	391
798	1550	389
799	1551	387
800	1553	385
801	1555	384
802	1557	382
803	1559	380
804	1560	378
805	1562	376
806	1564	374
807	1566	372
808	1568	370
809	1570	368
810	1572	366
811	1573	364
812	1575	362
813	1577	360
814	1579	358
815	1581	356
816	1582	354
817	1584	352
818	1586	350
819	1588	348
820	1589	346
821	1591	344
822	1593	342
823	1594	340
824	1596	338
825	1598	336
826	1600	334
827	1601	332
828	1603	330
829	1605	328
830	1606	326
831	1608	324
832	1610	322
833	1612	320
834	1614	319
835	1616	317
836	1618	315
837	1620	313
838	1622	311
839	1624	309
840	1626	307
841	1628	305
842	1630	303
843	1632	301
844	1634	299
845	1636	297
846	1637	295
847	1639	293
848	1641	291
849	1643	289
850	1645	288
851	1647	286
852	1648	284
853	1650	282
854	1652	280
855	1654	278
856	1656	276
857	1657	274
858	1659	272
859	1661	270
860	1663	268
861	1665	266
862	1666	264
863	1668	262
864	1670	260
865	1672	258
866	1674	256
867	1676	254
868	1678	252
869	1679	251
870	1681	249
871	1683	247
872	1685	245
873	1687	243
874	1689	241
875	1690	239
876	1692	237
877	1694	235
878	1696	233
879	1698	231
880	1699	229
881	1701	227
882	1703	225
883	1705	223
884	1707	221
885	1709	219
886	1710	217
887	1712	216
888	1714	214
889	1716	212
890	1717	210
891	1719	208
892	1721	206
893	1723	204
894	1725	202
895	1727	200
896	1728	198
897	1730	196
898	1731	194
899	1733	192
900	1735	190
901	1736	188
902	1738	186
903	1739	184
904	1741	182
905	1743	180
906	1744	178
907	1746	176
908	1748	175
909	1749	173
910	1751	171
911	1753	169
912	1755	167
913	1757	165
914	1759	163
915	1761	161
916	1763	159
917	1765	157
918	1767	155
919	1769	153
920	1770	151
921	1772	149
922	1774	148
923	1775	146
924	1777	144
925	1779	142
926	1781	140
927	1783	138
928	1785	136
929	1786	134
930	1788	132
931	1790	130
932	1792	128
933	1794	126
934	1795	124
935	1797	122
936	1799	121
937	1801	119
938	1803	117
939	1805	115
940	1807	113
941	1809	111
942	1811	109
943	1813	107
944	1815	105
945	1817	103
946	1819	101
947	1821	99
948	1823	97
949	1825	96
950	1827	94
951	1829	92
952	1831	90
953	1833	88
954	1835	86
955	1837	84
956	1839	82
957	1841	80
958	1843	78
959	1845	76
960	1847	74
961	1848	73
962	1850	71
963	1852	69
964	1854	67
965	1856	65
966	1859	63
967	1860	61
968	1862	59
969	1864	57
970	1866	55
971	1868	53
972	1870	51
973	1872	49
974	1874	48
975	1875	46
976	1877	44
977	1879	42
978	1881	40
979	1882	38
980	1884	36
981	1886	34
982	1888	32
983	1890	30
984	1891	28
985	1893	26
986	1895	24
987	1896	23
988	1898	21
989	1900	19
990	1901	17
991	1903	15
992	1905	13
993	1906	11
994	1908	9
995	1910	7
996	1911	5
997	1913	3
998	1915	1
999	1916	0
