ID,Label
386,"cation: im-2,1 + anion: gly"
387,"cation: im-2,1 + anion: hso4"
388,"cation: im-2,1 + anion: im41"
389,"cation: im-2,1 + anion: imidazolide"
390,"cation: im-2,1 + anion: imidazolide"
391,"cation: im-2,1 + anion: moof5"
392,"cation: im-2,1 + anion: nbf6"
393,"cation: im-2,1 + anion: nms2"
394,"cation: im-2,1 + anion: npf2"
395,"cation: im-2,1 + anion: npf2"
396,"cation: im-2,1 + anion: npf2"
397,"cation: im-2,1 + anion: npfso2f"
398,"cation: im-2,1 + anion: ntf2"
399,"cation: im-2,1 + anion: ntf2"
400,"cation: im-2,1 + anion: ntf2"
401,"cation: im-2,1 + anion: ntf2"
402,"cation: im-2,1 + anion: ntf2"
403,"cation: im-2,1 + anion: ntf2"
404,"cation: im-2,1 + anion: ntf2"
405,"cation: im-2,1 + anion: ntf2"
406,"cation: im-2,1 + anion: ntf2"
407,"cation: im-2,1 + anion: ntf2"
408,"cation: im-2,1 + anion: ntf2"
409,"cation: im-2,1 + anion: ntf2"
410,"cation: im-2,1 + anion: ntf2"
411,"cation: im-2,1 + anion: ntf2"
412,"cation: im-2,1 + anion: ntf2"
413,"cation: im-2,1 + anion: ntf2"
414,"cation: im-2,1 + anion: ntf2"
415,"cation: im-2,1 + anion: ntf2"
416,"cation: im-2,1 + anion: ntf2"
417,"cation: im-2,1 + anion: ntf2"
418,"cation: im-2,1 + anion: ntf2"
419,"cation: im-2,1 + anion: ntf2"
420,"cation: im-2,1 + anion: ntf2"
421,"cation: im-2,1 + anion: ntf2"
422,"cation: im-2,1 + anion: ntf2"
423,"cation: im-2,1 + anion: ntf2"
424,"cation: im-2,1 + anion: ntf2"
425,"cation: im-2,1 + anion: ntf2"
426,"cation: im-2,1 + anion: ntf2"
427,"cation: im-2,1 + anion: ntf2"
428,"cation: im-2,1 + anion: ntf2"
429,"cation: im-2,1 + anion: ntf2"
430,"cation: im-2,1 + anion: ntf2"
431,"cation: im-2,1 + anion: ntf2"
432,"cation: im-2,1 + anion: ntf2"
433,"cation: im-2,1 + anion: ntf2"
434,"cation: im-2,1 + anion: ntf2"
435,"cation: im-2,1 + anion: ntf2"
436,"cation: im-2,1 + anion: ntf2"
437,"cation: im-2,1 + anion: otf"
438,"cation: im-2,1 + anion: otf"
439,"cation: im-2,1 + anion: otf"
440,"cation: im-2,1 + anion: otf"
441,"cation: im-2,1 + anion: otf"
442,"cation: im-2,1 + anion: otf"
443,"cation: im-2,1 + anion: otf"
444,"cation: im-2,1 + anion: otf"
445,"cation: im-2,1 + anion: otf"
446,"cation: im-2,1 + anion: pf6"
447,"cation: im-2,1 + anion: pf6"
448,"cation: im-2,1 + anion: ph-coo[1],oh[2]"
449,"cation: im-2,1 + anion: phen"
450,"cation: im-2,1 + anion: po2-1,o1"
451,"cation: im-2,1 + anion: po2-1,o1"
452,"cation: im-2,1 + anion: po2-o1,o1"
453,"cation: im-2,1 + anion: po2-o1,o1"
454,"cation: im-2,1 + anion: po2-o2,o2"
455,"cation: im-2,1 + anion: po2-o2,o2"
456,"cation: im-2,1 + anion: po2-o2,o2"
457,"cation: im-2,1 + anion: po2-o2,o2"
458,"cation: im-2,1 + anion: po2-o2,o2"
459,"cation: im-2,1 + anion: po2-o2,o2"
460,"cation: im-2,1 + anion: pro"
461,"cation: im-2,1 + anion: pro"
462,"cation: im-2,1 + anion: sbf6"
463,"cation: im-2,1 + anion: scn"
464,"cation: im-2,1 + anion: scn"
465,"cation: im-2,1 + anion: scn"
466,"cation: im-2,1 + anion: scn"
467,"cation: im-2,1 + anion: ser"
468,"cation: im-2,1 + anion: ser"
469,"cation: im-2,1 + anion: so3-1"
470,"cation: im-2,1 + anion: so3-1"
471,"cation: im-2,1 + anion: so3-1"
472,"cation: im-2,1 + anion: so3-2[f]"
473,"cation: im-2,1 + anion: so3-4[f]"
474,"cation: im-2,1 + anion: so4-1,3[f],chf2"
475,"cation: im-2,1 + anion: so4-1"
476,"cation: im-2,1 + anion: so4-1"
477,"cation: im-2,1 + anion: so4-1"
478,"cation: im-2,1 + anion: so4-1"
479,"cation: im-2,1 + anion: so4-1"
480,"cation: im-2,1 + anion: so4-1"
481,"cation: im-2,1 + anion: so4-1"
482,"cation: im-2,1 + anion: so4-1"
483,"cation: im-2,1 + anion: so4-1"
484,"cation: im-2,1 + anion: so4-2"
485,"cation: im-2,1 + anion: so4-2"
486,"cation: im-2,1 + anion: so4-2"
487,"cation: im-2,1 + anion: so4-2"
488,"cation: im-2,1 + anion: so4-2"
489,"cation: im-2,1 + anion: so4-2"
490,"cation: im-2,1 + anion: so4-2"
491,"cation: im-2,1 + anion: so4-2"
492,"cation: im-2,1 + anion: so4-2"
493,"cation: im-2,1 + anion: so4-2"
494,"cation: im-2,1 + anion: so4-2"
495,"cation: im-2,1 + anion: so4-2"
496,"cation: im-2,1 + anion: so4-2"
497,"cation: im-2,1 + anion: so4-2"
498,"cation: im-2,1 + anion: so4-2"
499,"cation: im-2,1 + anion: so4-2"
500,"cation: im-2,1 + anion: so4-2"
501,"cation: im-2,1 + anion: so4-2"
502,"cation: im-2,1 + anion: so4-2"
503,"cation: im-2,1 + anion: so4-2"
504,"cation: im-2,1 + anion: so4-4"
505,"cation: im-2,1 + anion: so4-6"
506,"cation: im-2,1 + anion: so4-6"
507,"cation: im-2,1 + anion: so4-8"
508,"cation: im-2,1 + anion: so4-8"
509,"cation: im-2,1 + anion: taf6"
510,"cation: im-2,1 + anion: tau"
511,"cation: im-2,1 + anion: tca-1"
512,"cation: im-2,1 + anion: tca-1cn"
513,"cation: im-2,1 + anion: tca-o1"
514,"cation: im-2,1 + anion: tca"
515,"cation: im-2,1 + anion: tcb"
516,"cation: im-2,1 + anion: tcb"
517,"cation: im-2,1 + anion: tcb"
518,"cation: im-2,1 + anion: tcb"
519,"cation: im-2,1 + anion: tcb"
520,"cation: im-2,1 + anion: tetrazolide"
521,"cation: im-2,1 + anion: tfa-2[f]"
522,"cation: im-2,1 + anion: tfa-3[f]"
523,"cation: im-2,1 + anion: tfa"
524,"cation: im-2,1 + anion: tfa"
525,"cation: im-2,1 + anion: tfa"
526,"cation: im-2,1 + anion: tfa"
527,"cation: im-2,1 + anion: tfes"
528,"cation: im-2,1 + anion: tfesi"
529,"cation: im-2,1 + anion: triazolide"
530,"cation: im-2,1 + anion: tsac"
531,"cation: im-2,1 + anion: wf7"
532,"cation: im-2,1 + anion: wof5"
533,"cation: im-2,1o2,1 + anion: ntf2"
534,"cation: im-2,2,1[5] + anion: ntf2"
535,"cation: im-2,2,1 + anion: ntf2"
536,"cation: im-2,2,1o2 + anion: ntf2"
537,"cation: im-2,2,1o2 + anion: ntf2"
538,"cation: im-2,2,1o3 + anion: ntf2"
539,"cation: im-2,2,1o3 + anion: ntf2"
540,"cation: im-2,2 + anion: ntf2"
541,"cation: im-2,2 + anion: ntf2"
542,"cation: im-2,2 + anion: ntf2"
543,"cation: im-2,2 + anion: ntf2"
544,"cation: im-2,2 + anion: ntf2"
545,"cation: im-2,2 + anion: otf"
546,"cation: im-2,2 + anion: otf"
547,"cation: im-2,2 + anion: po2-o2,o2"
548,"cation: im-2,2 + anion: so3-ph1"
549,"cation: im-2,2 + anion: tfa"
550,"cation: im-2D,1D + anion: fap"
551,"cation: im-2D,1D + anion: so4-1D"
552,"cation: im-2D,1 + anion: fap"
553,cation: im-2 + anion: ac
554,cation: im-2 + anion: bf4
555,cation: im-2 + anion: clo4
556,cation: im-2 + anion: npf2
557,cation: im-2 + anion: ntf2
558,cation: im-2 + anion: ntf2
559,cation: im-2 + anion: ntf2
560,cation: im-2 + anion: ntf2
561,cation: im-2 + anion: otf
562,cation: im-2 + anion: otf
563,cation: im-2 + anion: pf6
564,cation: im-2 + anion: so3-1
565,"cation: im-2ch,1 + anion: ntf2"
566,"cation: im-2cl,1 + anion: dca"
567,"cation: im-2cn,10 + anion: behss"
568,"cation: im-2cn,10 + anion: behss"
569,"cation: im-2cn,10 + anion: br"
570,"cation: im-2cn,10 + anion: sba"
571,"cation: im-2cn,10 + anion: so4-12"
572,"cation: im-2cn,10 + anion: so4-12"
573,"cation: im-2cn,1 + anion: bf4"
574,"cation: im-2cn,1ph + anion: cl"
575,"cation: im-2cn,2o2 + anion: dca"
